unique_id,id,name,date,role,kills,deaths,assists,damage_dealt,damage_taken,wards,cs,gold,minutes,champion,op_score,result,num_dbah_players,is_dbah_team
2022-02-11t00:00:00+9:00_019_007_win_cllassy66,manual_game_2022-02-11T00:00:00+9:00_019_007_WIN,cllassy66,2022-02-11T00:00:00+9:00,TOP,6,2,1,12298,10970,7,125,8146,19.11666667,Urgot,7.84,WIN,5,TRUE
2022-02-11t00:00:00+9:00_019_007_win_codybarrese,manual_game_2022-02-11T00:00:00+9:00_019_007_WIN,codybarrese,2022-02-11T00:00:00+9:00,JUNGLE,6,1,6,7337,20034,6,104,7949,19.11666667,Warwick,7.68,WIN,5,TRUE
2022-02-11t00:00:00+9:00_019_007_win_gandalftheblack2,manual_game_2022-02-11T00:00:00+9:00_019_007_WIN,gandalftheblack2,2022-02-11T00:00:00+9:00,MID,1,0,3,3434,9803,6,113,6323,19.11666667,Cho Gath,6.3,WIN,5,TRUE
2022-02-11t00:00:00+9:00_019_007_win_dbahdaspooper,manual_game_2022-02-11T00:00:00+9:00_019_007_WIN,dbahdaspooper,2022-02-11T00:00:00+9:00,BOT,7,0,2,10531,3841,5,141,8358,19.11666667,Varus,6.33,WIN,5,TRUE
2022-02-11t00:00:00+9:00_019_007_win_100moe,manual_game_2022-02-11T00:00:00+9:00_019_007_WIN,100moe,2022-02-11T00:00:00+9:00,SUPPORT,0,1,8,5073,4290,8,12,5455,19.11666667,Morgana,6.81,WIN,5,TRUE
2022-02-11t00:00:00+9:00_028_046_win_cllassy66,manual_game_2022-02-11T00:00:00+9:00_028_046_WIN,cllassy66,2022-02-11T00:00:00+9:00,TOP,8,2,4,23787,26146,8,176,13098,27.76666667,Garen,8.12,WIN,5,TRUE
2022-02-11t00:00:00+9:00_028_046_win_codybarrese,manual_game_2022-02-11T00:00:00+9:00_028_046_WIN,codybarrese,2022-02-11T00:00:00+9:00,JUNGLE,4,8,9,8424,29246,9,129,9879,27.76666667,Warwick,5.64,WIN,5,TRUE
2022-02-11t00:00:00+9:00_028_046_win_gandalftheblack2,manual_game_2022-02-11T00:00:00+9:00_028_046_WIN,gandalftheblack2,2022-02-11T00:00:00+9:00,MID,3,1,9,7624,20172,9,132,9148,27.76666667,Cho Gath,6.25,WIN,5,TRUE
2022-02-11t00:00:00+9:00_028_046_win_dbahdaspooper,manual_game_2022-02-11T00:00:00+9:00_028_046_WIN,dbahdaspooper,2022-02-11T00:00:00+9:00,BOT,11,2,10,31499,15719,12,201,13725,27.76666667,Lucian,9.28,WIN,5,TRUE
2022-02-11t00:00:00+9:00_028_046_win_100moe,manual_game_2022-02-11T00:00:00+9:00_028_046_WIN,100moe,2022-02-11T00:00:00+9:00,SUPPORT,4,3,17,15760,10399,16,17,9014,27.76666667,Morgana,7.53,WIN,5,TRUE
2022-02-11t00:00:00+9:00_037_045_win_cllassy66,manual_game_2022-02-11T00:00:00+9:00_037_045_WIN,cllassy66,2022-02-11T00:00:00+9:00,TOP,15,5,14,33329,42012,11,165,15131,36.75,Lillia,6.69,WIN,5,TRUE
2022-02-11t00:00:00+9:00_037_045_win_codybarrese,manual_game_2022-02-11T00:00:00+9:00_037_045_WIN,codybarrese,2022-02-11T00:00:00+9:00,JUNGLE,6,10,10,9273,44044,13,165,12153,36.75,Evelyn,5.71,WIN,5,TRUE
2022-02-11t00:00:00+9:00_037_045_win_gandalftheblack2,manual_game_2022-02-11T00:00:00+9:00_037_045_WIN,gandalftheblack2,2022-02-11T00:00:00+9:00,MID,1,3,37,6874,23200,12,84,10597,36.75,Soraka,6.03,WIN,5,TRUE
2022-02-11t00:00:00+9:00_037_045_win_dbahdaspooper,manual_game_2022-02-11T00:00:00+9:00_037_045_WIN,dbahdaspooper,2022-02-11T00:00:00+9:00,BOT,26,5,22,65394,34782,15,224,20909,36.75,Sivir,9.89,WIN,5,TRUE
2022-02-11t00:00:00+9:00_037_045_win_100moe,manual_game_2022-02-11T00:00:00+9:00_037_045_WIN,100moe,2022-02-11T00:00:00+9:00,SUPPORT,17,6,28,34751,31354,14,36,15220,36.75,Morgana,8.03,WIN,5,TRUE
2022-02-11t00:00:00+9:00_025_052_win_cllassy66,manual_game_2022-02-11T00:00:00+9:00_025_052_WIN,cllassy66,2022-02-11T00:00:00+9:00,TOP,5,4,5,19719,16619,9,154,9199,24.86666667,Lillia,7.37,WIN,5,TRUE
2022-02-11t00:00:00+9:00_025_052_win_codybarrese,manual_game_2022-02-11T00:00:00+9:00_025_052_WIN,codybarrese,2022-02-11T00:00:00+9:00,JUNGLE,5,8,8,10384,29240,8,109,8401,24.86666667,Warwick,6.11,WIN,5,TRUE
2022-02-11t00:00:00+9:00_025_052_win_gandalftheblack2,manual_game_2022-02-11T00:00:00+9:00_025_052_WIN,gandalftheblack2,2022-02-11T00:00:00+9:00,MID,2,4,3,6366,11631,6,148,7973,24.86666667,Anivia,3.8,WIN,5,TRUE
2022-02-11t00:00:00+9:00_025_052_win_dbahdaspooper,manual_game_2022-02-11T00:00:00+9:00_025_052_WIN,dbahdaspooper,2022-02-11T00:00:00+9:00,BOT,10,2,3,16560,10459,11,170,11590,24.86666667,Sivir,9.84,WIN,5,TRUE
2022-02-11t00:00:00+9:00_025_052_win_100moe,manual_game_2022-02-11T00:00:00+9:00_025_052_WIN,100moe,2022-02-11T00:00:00+9:00,SUPPORT,5,5,9,14899,10268,12,13,8438,24.86666667,Morgana,7.6,WIN,5,TRUE
2022-02-11t00:00:00+9:00_031_011_lose_cllassy66,manual_game_2022-02-11T00:00:00+9:00_031_011_LOSE,cllassy66,2022-02-11T00:00:00+9:00,TOP,5,4,3,19030,24392,11,208,11571,31.18333333,Lillia,7.25,LOSE,5,TRUE
2022-02-11t00:00:00+9:00_031_011_lose_codybarrese,manual_game_2022-02-11T00:00:00+9:00_031_011_LOSE,codybarrese,2022-02-11T00:00:00+9:00,JUNGLE,6,10,4,10971,34299,9,160,11244,31.18333333,Amumu,4.74,LOSE,5,TRUE
2022-02-11t00:00:00+9:00_031_011_lose_gandalftheblack2,manual_game_2022-02-11T00:00:00+9:00_031_011_LOSE,gandalftheblack2,2022-02-11T00:00:00+9:00,MID,4,12,4,10571,23986,11,111,8716,31.18333333,Zed,3.77,LOSE,5,TRUE
2022-02-11t00:00:00+9:00_031_011_lose_dbahdaspooper,manual_game_2022-02-11T00:00:00+9:00_031_011_LOSE,dbahdaspooper,2022-02-11T00:00:00+9:00,BOT,7,9,7,30517,22359,10,228,13687,31.18333333,Sivir,5.42,LOSE,5,TRUE
2022-02-11t00:00:00+9:00_031_011_lose_100moe,manual_game_2022-02-11T00:00:00+9:00_031_011_LOSE,100moe,2022-02-11T00:00:00+9:00,SUPPORT,6,5,9,19754,13792,15,35,9688,31.18333333,Morgana,7.66,LOSE,5,TRUE
2022-02-12t00:00:00+9:00_020_015_win_joeybagadonitz,manual_game_2022-02-12T00:00:00+9:00_020_015_WIN,joeybagadonitz,2022-02-12T00:00:00+9:00,TOP,8,4,9,16211,16282,4,156,10394,20.25,Irelia,6.65,WIN,5,TRUE
2022-02-12t00:00:00+9:00_020_015_win_dbahdaspooper,manual_game_2022-02-12T00:00:00+9:00_020_015_WIN,dbahdaspooper,2022-02-12T00:00:00+9:00,JUNGLE,7,1,18,14385,24839,7,131,10442,20.25,Zac,10,WIN,5,TRUE
2022-02-12t00:00:00+9:00_020_015_win_shebbles,manual_game_2022-02-12T00:00:00+9:00_020_015_WIN,shebbles,2022-02-12T00:00:00+9:00,MID,14,2,4,14228,10767,5,80,10323,20.25,Vi,7.37,WIN,5,TRUE
